Check ID,Platform,Category,DRIVE Stage,Check,Business-Friendly Description,Severity,Exploitability,Business Impact Level,Check Score Deduction (X),Maturity Ceiling (1–5),NIST SP 800-53 (Rev.5),CIS Controls v8,MITRE ATT&CK,GDPR,GLBA,HIPAA,ISO 27001,NIST 800-171,PCI DSS,SOX,ASD ISM,CJISSP,FISMA NIST,NERC CIP,SWIFT
ES-001-EX,Exchange Online,Access Control,2,External recipient/guest has access to sensitive mailbox items or shared mailboxes.,"Non-employees can read internal email content or attachments. If their account is compromised—or they leave their company—confidential communications and PII can be exfiltrated, enabling phishing, legal exposure, or insider trading concerns.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
FS-AX-012,File System,Access Control,1,File system broad access to hidden/admin shares,"Administrative shares (e.g., C$, ADMIN$) and hidden shares should be tightly controlled. If exploited, attackers sweep systems, deploy tools, and exfiltrate data over SMB.",Critical,High,High,6,2,"AC-3, AC-6","3, 6",,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-AX-007,File System,Access Control,2,File system broken inheritance with excessive explicit aces,"Too many explicit permissions make ACLs complex and error‑prone. If exploited, attackers find overlooked grants to reach sensitive data unnoticed.",Medium,Medium,Medium,4,2,"AC-3, AC-6","3, 6",,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-AX-005,File System,Access Control,2,File system change permissions/take ownership to non-admins,"Granting change‑permissions/ownership to non‑admins lets users rewrite access controls. If exploited, attackers elevate their own access and lock out legitimate owners.",High,Medium,High,5,2,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-OH-003,File System,Access Control,2,File system excessive acl entries (acl bloat),"Bloated ACLs are difficult to review and easy to misconfigure. If exploited, attackers find gaps to escalate access or hide persistence via permissions.",Medium,Medium,Medium,17,2,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-AX-010,File System,Access Control,1,File system local accounts on in acls,"Local machine accounts in ACLs are hard to track across servers. If exploited, attackers compromise one server and gain access to files elsewhere via those local identities.",High,Medium,High,5,2,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-033,File System,Access Control,1,File System missing full control ACE,"Some folders are missing a Full Control access control entry (ACE) for trusted administrators (e.g., BUILTIN\Administrators or NT AUTHORITY\SYSTEM). Without that safety net, IT may be unable to reliably change permissions, evict bad entries, or recover ownership during incidents, backups, or migrations. If exploited, an attacker who gains write access can lock out admins by adding Deny ACEs, disable inheritance, replace the owner, and hide malicious files—turning routine remediation into an outage that may require offline recovery or restores. The result can be prolonged downtime, data loss, blocked investigations, and higher impact from ransomware or insider abuse.",,,,,,,,,,,,,,,,,,,,
FS-AX-008,File System,Access Control,1,File system orphaned sids in acls,"Orphaned SIDs represent unknown or deleted accounts that still hold rights. If exploited, attackers can recreate those SIDs or confuse reviews to keep illicit access.",Low,Medium,Low,2,4,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-AX-009,File System,Access Control,1,File system over-nested groups creating implicit access,"Deep group nesting hides who truly has file access. If exploited, attackers gain data access through indirect group paths that audits miss.",Medium,Medium,Medium,4,2,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-AX-011,File System,Access Control,3,File system stale privileged access,"Old grants linger after roles change, expanding the attack surface. If exploited, attackers use forgotten rights to read or alter sensitive data.",Medium,Medium,High,4,2,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
FS-AX-006,File System,Access Control,3,File system unintended inheritance to sensitive paths,"Some folders automatically inherit permissions from parent folders, unintentionally granting access to sensitive data. If exploited, an attacker who gains access to a parent location can inherit read/modify rights to confidential files, enabling silent data theft or tampering.",High,Medium,High,3,2,"AC-3, AC-4, AC-6, SC-28","3, 6",T1567,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-4, AC-6, SC-28",,
DE-002-OD,OneDrive,Access Control,1,Anonymous sharing links are enabled (scope == anonymous).,"Share links don’t require authentication across SharePoint/OneDrive. Anyone who gets the URL (even unintentionally) can access the file. If exposed (e.g., pasted into a ticket or chat), data can spread publicly and evade access logs, creating regulatory and reputational risk.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
ES-001-OD,OneDrive,Access Control,2,Guest user has access to sensitive content.,"A partner/contractor account can view internal confidential data. If that guest account is hijacked or misused, information can be copied externally, harming competitive position and triggering contractual or regulatory issues.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
CC-002-OD,OneDrive,Access Control,1,Non-expiring (permanent) links are allowed.,"Share links never expire. Old links continue to work long after the business need ends. If they surface in email threads, tickets, or web caches, outsiders may gain indefinite access to sensitive files.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
AC-003-OD,OneDrive,Access Control,2,Orphaned users (not resolvable in directory) still appear on ACLs.,"Permissions reference accounts that no longer exist (or can’t be resolved). This breaks accountability and reviews. If an identity is later re-created or mapped, it may inherit unintended access; audits also fail due to unverifiable access lists.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
SP-ES-010,SharePoint,Access Control,2,Sharepoint 'everyone except external users' on sensitive libraries,"This broad group grants access to nearly all employees. If exploited, sensitive data spreads internally and is easier to exfiltrate by any compromised user.",Medium,High,High,7,2,"AC-14, AC-2, AC-20, AC-3, AC-4, AC-6, SC-28","15, 3, 6",T1567,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-14, AC-2, AC-20, AC-3, AC-4, AC-6, SC-28",,
SP-ES-002,SharePoint,Access Control,2,Sharepoint anyone links with edit,"Anonymous edit links let unauthenticated users change files. If exploited, attackers deface content, insert malware, or corrupt records.",Critical,High,High,10,2,"AC-14, AC-2, AC-20, AC-3, AC-6","15, 3, 6",,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-14, AC-2, AC-20, AC-3, AC-6",,
SP-ES-006,SharePoint,Access Control,2,Sharepoint external sharing to consumer domains,"Sharing to personal email domains weakens identity assurance and revocation. If exploited, attackers forward or retain access beyond business need.",Medium,High,High,7,2,"AC-14, AC-2, AC-20, AC-3, AC-6","15, 3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-14, AC-2, AC-20, AC-3, AC-6",,
SP-ES-008,SharePoint,Access Control,2,Sharepoint guest accounts as site owners / full control,"Guests with owner/full control bypass internal governance. If exploited, external users change permissions, exfiltrate data, or delete evidence.",High,Medium,High,7,2,"AC-14, AC-2, AC-20, AC-3, AC-6","15, 3, 6",,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-14, AC-2, AC-20, AC-3, AC-6",,
